,CBSA,POPESTIMATE,variable,value,age,sex,GEOID,NAME,INTPTLAT,INTPTLONG
129,10540,129839,AGE65PLUS_TOTAL,24869,65+,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
130,10540,129839,AGE65PLUS_MALE,11658,65+,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
131,10540,129839,AGE65PLUS_FEMALE,13211,65+,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
132,10580,899286,AGE1519_TOTAL,58427,15-19,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
133,10580,899286,AGE1519_MALE,29529,15-19,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
134,10580,899286,AGE1519_FEMALE,28898,15-19,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
135,10580,899286,AGE2024_TOTAL,67373,20-24,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
136,10580,899286,AGE2024_MALE,33744,20-24,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
137,10580,899286,AGE2024_FEMALE,33629,20-24,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
138,10580,899286,AGE2529_TOTAL,58296,25-29,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
139,10580,899286,AGE2529_MALE,29416,25-29,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
140,10580,899286,AGE2529_FEMALE,28880,25-29,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
141,10580,899286,AGE3034_TOTAL,58768,30-34,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
142,10580,899286,AGE3034_MALE,29451,30-34,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
143,10580,899286,AGE3034_FEMALE,29317,30-34,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
144,10580,899286,AGE3539_TOTAL,58113,35-39,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
145,10580,899286,AGE3539_MALE,29114,35-39,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
146,10580,899286,AGE3539_FEMALE,28999,35-39,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
147,10580,899286,AGE4044_TOTAL,54455,40-44,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
148,10580,899286,AGE4044_MALE,27213,40-44,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
149,10580,899286,AGE4044_FEMALE,27242,40-44,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
150,10580,899286,AGE4549_TOTAL,50914,45-49,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
151,10580,899286,AGE4549_MALE,25208,45-49,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
152,10580,899286,AGE4549_FEMALE,25706,45-49,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
153,10580,899286,AGE5054_TOTAL,58675,50-54,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
154,10580,899286,AGE5054_MALE,29336,50-54,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
155,10580,899286,AGE5054_FEMALE,29339,50-54,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
156,10580,899286,AGE5559_TOTAL,63651,55-59,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
157,10580,899286,AGE5559_MALE,30951,55-59,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
158,10580,899286,AGE5559_FEMALE,32700,55-59,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
159,10580,899286,AGE6064_TOTAL,62438,60-64,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
160,10580,899286,AGE6064_MALE,30447,60-64,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
161,10580,899286,AGE6064_FEMALE,31991,60-64,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
162,10580,899286,AGE65PLUS_TOTAL,165989,65+,TOTAL,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
163,10580,899286,AGE65PLUS_MALE,74812,65+,MALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
164,10580,899286,AGE65PLUS_FEMALE,91177,65+,FEMALE,10580,"Albany-Schenectady-Troy, NY",42.78792,-73.942348
165,10740,918259,AGE1519_TOTAL,59127,15-19,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
166,10740,918259,AGE1519_MALE,30144,15-19,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
167,10740,918259,AGE1519_FEMALE,28983,15-19,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
168,10740,918259,AGE2024_TOTAL,57143,20-24,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
169,10740,918259,AGE2024_MALE,29125,20-24,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
170,10740,918259,AGE2024_FEMALE,28018,20-24,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
171,10740,918259,AGE2529_TOTAL,62305,25-29,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
172,10740,918259,AGE2529_MALE,31806,25-29,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
173,10740,918259,AGE2529_FEMALE,30499,25-29,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
174,10740,918259,AGE3034_TOTAL,65512,30-34,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
175,10740,918259,AGE3034_MALE,33281,30-34,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
176,10740,918259,AGE3034_FEMALE,32231,30-34,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
177,10740,918259,AGE3539_TOTAL,65053,35-39,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
178,10740,918259,AGE3539_MALE,32983,35-39,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
179,10740,918259,AGE3539_FEMALE,32070,35-39,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
180,10740,918259,AGE4044_TOTAL,58995,40-44,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
181,10740,918259,AGE4044_MALE,29785,40-44,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
182,10740,918259,AGE4044_FEMALE,29210,40-44,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
183,10740,918259,AGE4549_TOTAL,53445,45-49,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
184,10740,918259,AGE4549_MALE,26770,45-49,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
185,10740,918259,AGE4549_FEMALE,26675,45-49,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
186,10740,918259,AGE5054_TOTAL,54513,50-54,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
187,10740,918259,AGE5054_MALE,27010,50-54,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
188,10740,918259,AGE5054_FEMALE,27503,50-54,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
189,10740,918259,AGE5559_TOTAL,58410,55-59,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
190,10740,918259,AGE5559_MALE,28499,55-59,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
191,10740,918259,AGE5559_FEMALE,29911,55-59,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
192,10740,918259,AGE6064_TOTAL,60301,60-64,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
193,10740,918259,AGE6064_MALE,28851,60-64,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
194,10740,918259,AGE6064_FEMALE,31450,60-64,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
195,10740,918259,AGE65PLUS_TOTAL,163662,65+,TOTAL,10740,"Albuquerque, NM",35.123496,-106.458392
196,10740,918259,AGE65PLUS_MALE,73943,65+,MALE,10740,"Albuquerque, NM",35.123496,-106.458392
197,10740,918259,AGE65PLUS_FEMALE,89719,65+,FEMALE,10740,"Albuquerque, NM",35.123496,-106.458392
198,10780,150890,AGE1519_TOTAL,9793,15-19,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
199,10780,150890,AGE1519_MALE,5093,15-19,MALE,10780,"Alexandria, LA",31.325348,-92.546803
200,10780,150890,AGE1519_FEMALE,4700,15-19,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
201,10780,150890,AGE2024_TOTAL,9148,20-24,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
202,10780,150890,AGE2024_MALE,4700,20-24,MALE,10780,"Alexandria, LA",31.325348,-92.546803
203,10780,150890,AGE2024_FEMALE,4448,20-24,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
204,10780,150890,AGE2529_TOTAL,9979,25-29,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
205,10780,150890,AGE2529_MALE,5389,25-29,MALE,10780,"Alexandria, LA",31.325348,-92.546803
206,10780,150890,AGE2529_FEMALE,4590,25-29,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
207,10780,150890,AGE3034_TOTAL,10219,30-34,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
208,10780,150890,AGE3034_MALE,5423,30-34,MALE,10780,"Alexandria, LA",31.325348,-92.546803
209,10780,150890,AGE3034_FEMALE,4796,30-34,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
210,10780,150890,AGE3539_TOTAL,10060,35-39,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
211,10780,150890,AGE3539_MALE,5262,35-39,MALE,10780,"Alexandria, LA",31.325348,-92.546803
212,10780,150890,AGE3539_FEMALE,4798,35-39,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
213,10780,150890,AGE4044_TOTAL,9483,40-44,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
