,USPS,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
258,CO,Crowley County,38.30618,-103.772736,6012
259,CO,Custer County,38.101996,-105.373512,5045
260,CO,Delta County,38.861595,-107.864892,31661
261,CO,Denver County,39.76185,-104.881105,711463
262,CO,Dolores County,37.733823,-108.506219,2397
263,CO,Douglas County,39.325414,-104.925987,368990
264,CO,Eagle County,39.626992,-106.695169,55727
265,CO,Elbert County,39.315157,-104.114076,27128
266,CO,El Paso County,38.827383,-104.527472,737867
267,CO,Fremont County,38.45517,-105.424958,49661
268,CO,Garfield County,39.599352,-107.90978,62161
269,CO,Gilpin County,39.861156,-105.528878,5873
270,CO,Grand County,40.113065,-106.110837,15860
271,CO,Gunnison County,38.670499,-107.05688,17281
272,CO,Hinsdale County,37.811519,-107.383974,781
273,CO,Huerfano County,37.687815,-104.959928,6920
274,CO,Jackson County,40.663432,-106.329248,1363
275,CO,Jefferson County,39.579511,-105.245462,579581
276,CO,Kiowa County,38.387663,-102.756849,1452
277,CO,Kit Carson County,39.30534,-102.603023,6950
278,CO,Lake County,39.205341,-106.350079,7407
279,CO,La Plata County,37.287367,-107.839718,56250
280,CO,Larimer County,40.658093,-105.486764,362533
281,CO,Las Animas County,37.318831,-104.04411,14633
282,CO,Lincoln County,38.99374,-103.507555,5688
283,CO,Logan County,40.728091,-103.090464,21487
284,CO,Mesa County,39.019524,-108.460571,157335
285,CO,Mineral County,37.549067,-107.003236,924
286,CO,Moffat County,40.610864,-108.217154,13185
287,CO,Montezuma County,37.338025,-108.595786,26175
288,CO,Montrose County,38.407507,-108.266282,43168
289,CO,Morgan County,40.263159,-103.81221,29008
290,CO,Otero County,37.88417,-103.72126,18594
291,CO,Ouray County,38.154731,-107.78848,5035
292,CO,Park County,39.118914,-105.717648,17720
293,CO,Phillips County,40.594712,-102.345105,4512
294,CO,Pitkin County,39.217541,-106.916162,17348
295,CO,Prowers County,37.958181,-102.392161,11996
296,CO,Pueblo County,38.162765,-104.484668,169622
297,CO,Rio Blanco County,39.972622,-108.200716,6476
298,CO,Rio Grande County,37.485853,-106.453128,11408
299,CO,Routt County,40.483664,-106.987702,25091
300,CO,Saguache County,38.031651,-106.234666,6471
301,CO,San Juan County,37.781049,-107.670257,733
302,CO,San Miguel County,38.009319,-108.427263,8074
303,CO,Sedgwick County,40.871568,-102.355358,2336
304,CO,Summit County,39.621023,-106.137555,30941
305,CO,Teller County,38.869976,-105.187365,24926
306,CO,Washington County,39.96579,-103.209744,4861
307,CO,Weld County,40.555961,-104.383666,340036
308,CO,Yuma County,40.00077,-102.421649,9941
309,CT,Fairfield County,41.227413,-73.367061,959768
310,CT,Hartford County,41.806053,-72.732916,896854
311,CT,Litchfield County,41.791883,-73.235404,185000
312,CT,Middlesex County,41.433003,-72.52278,164759
313,CT,New Haven County,41.349718,-72.900203,863700
314,CT,New London County,41.472652,-72.108634,268805
315,CT,Tolland County,41.858081,-72.340978,150293
316,CT,Windham County,41.824999,-71.990702,116418
317,DE,Kent County,39.097088,-75.502982,184149
318,DE,New Castle County,39.575915,-75.644132,571708
319,DE,Sussex County,38.673227,-75.337024,247527
320,DC,District of Columbia,38.904247,-77.016517,670050
321,FL,Alachua County,29.67574,-82.357221,279238
322,FL,Baker County,30.324442,-82.302284,28715
323,FL,Bay County,30.15914,-85.534395,179168
324,FL,Bradford County,29.952386,-82.166698,28540
325,FL,Brevard County,28.298311,-80.700333,616628
326,FL,Broward County,26.193535,-80.476683,1930983
327,FL,Calhoun County,30.388801,-85.197915,13641
328,FL,Charlotte County,26.906396,-82.003657,194843
329,FL,Citrus County,28.850292,-82.595552,158083
330,FL,Clay County,29.986584,-81.865036,222361
331,FL,Collier County,26.118786,-81.400955,385980
332,FL,Columbia County,30.221651,-82.623371,70385
333,FL,DeSoto County,27.190581,-81.806253,34408
334,FL,Dixie County,29.552675,-83.236232,17102
335,FL,Duval County,30.335245,-81.648113,999935
336,FL,Escambia County,30.529998,-87.320322,322390
337,FL,Flagler County,29.474891,-81.286253,120932
338,FL,Franklin County,29.677794,-84.815213,12572
339,FL,Gadsden County,30.578687,-84.612607,43714
340,FL,Gilchrist County,29.723456,-82.795801,18360
341,FL,Glades County,26.95481,-81.19082,12234
342,FL,Gulf County,29.859238,-85.272013,14363
343,FL,Hamilton County,30.491187,-82.951071,13993
344,FL,Hardee County,27.492846,-81.82158,25425
345,FL,Hendry County,26.539967,-81.152114,40313
346,FL,Hernando County,28.555995,-82.525969,200638
347,FL,Highlands County,27.34108,-81.342353,103296
348,FL,Hillsborough County,27.88761,-82.374417,1478194
349,FL,Holmes County,30.862007,-85.815939,19784
350,FL,Indian River County,27.700528,-80.574789,163662
351,FL,Jackson County,30.789249,-85.208814,47694
352,FL,Jefferson County,30.396898,-83.921761,14555
353,FL,Lafayette County,29.990066,-83.17851,8382
354,FL,Lake County,28.764113,-81.712282,395804
355,FL,Lee County,26.563273,-81.984182,787976
356,FL,Leon County,30.45931,-84.2778,292817
357,FL,Levy County,29.271854,-82.831233,44158
358,FL,Liberty County,30.259849,-84.86858,7900
359,FL,Madison County,30.447233,-83.470416,18288
360,FL,Manatee County,27.475556,-82.393144,412703
361,FL,Marion County,29.202805,-82.0431,385915
362,FL,Martin County,27.083604,-80.398201,159942
363,FL,Miami-Dade County,25.616009,-80.50375,2662777
364,FL,Monroe County,25.58612,-81.022603,82170
365,FL,Nassau County,30.605963,-81.765087,94189
366,FL,Okaloosa County,30.614325,-86.59108,213255
367,FL,Okeechobee County,27.385592,-80.887388,40266
368,FL,Orange County,28.514391,-81.323284,1422746
369,FL,Osceola County,28.059027,-81.139312,403282
370,FL,Palm Beach County,26.649126,-80.448354,1497987
371,FL,Pasco County,28.309823,-82.511006,584067
372,FL,Pinellas County,27.905342,-82.798066,956615
373,FL,Polk County,27.953649,-81.693534,753520
374,FL,Putnam County,29.593896,-81.732039,74167
375,FL,St. Johns County,29.890487,-81.40004,292466
376,FL,St. Lucie County,27.379814,-80.443536,343579
377,FL,Santa Rosa County,30.675348,-87.018919,193998
378,FL,Sarasota County,27.225327,-82.423714,447057
379,FL,Seminole County,28.690065,-81.131975,470093
