,CBSA,AGE,FEMALE,MALE,TOTAL,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
194,10860,50-54,1374,1228,2602,"Alice, TX",27.697743,-98.390881,48603
195,10860,55-59,1446,1349,2795,"Alice, TX",27.697743,-98.390881,48603
196,10860,60-64,1414,1354,2768,"Alice, TX",27.697743,-98.390881,48603
197,10860,65+,4244,3592,7836,"Alice, TX",27.697743,-98.390881,48603
198,10900,15-19,27836,29359,57195,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
199,10900,20-24,26443,27416,53859,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
200,10900,25-29,25517,26436,51953,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
201,10900,30-34,27206,28017,55223,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
202,10900,35-39,26809,27692,54501,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
203,10900,40-44,26377,26581,52958,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
204,10900,45-49,25702,25473,51175,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
205,10900,50-54,28725,28736,57461,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
206,10900,55-59,30737,30456,61193,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
207,10900,60-64,30961,29929,60890,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
208,10900,65+,89220,72709,161929,"Allentown-Bethlehem-Easton, PA-NJ",40.789339,-75.398158,865310
209,10940,15-19,1404,1476,2880,"Alma, MI",43.292326,-84.60469,41544
210,10940,20-24,1350,1881,3231,"Alma, MI",43.292326,-84.60469,41544
211,10940,25-29,1078,1721,2799,"Alma, MI",43.292326,-84.60469,41544
212,10940,30-34,1059,1662,2721,"Alma, MI",43.292326,-84.60469,41544
213,10940,35-39,1105,1608,2713,"Alma, MI",43.292326,-84.60469,41544
214,10940,40-44,1109,1633,2742,"Alma, MI",43.292326,-84.60469,41544
215,10940,45-49,985,1454,2439,"Alma, MI",43.292326,-84.60469,41544
216,10940,50-54,1167,1462,2629,"Alma, MI",43.292326,-84.60469,41544
217,10940,55-59,1320,1481,2801,"Alma, MI",43.292326,-84.60469,41544
218,10940,60-64,1275,1393,2668,"Alma, MI",43.292326,-84.60469,41544
219,10940,65+,3953,3335,7288,"Alma, MI",43.292326,-84.60469,41544
220,10980,15-19,743,812,1555,"Alpena, MI",44.894954,-83.426574,28893
221,10980,20-24,666,727,1393,"Alpena, MI",44.894954,-83.426574,28893
222,10980,25-29,725,822,1547,"Alpena, MI",44.894954,-83.426574,28893
223,10980,30-34,760,796,1556,"Alpena, MI",44.894954,-83.426574,28893
224,10980,35-39,753,857,1610,"Alpena, MI",44.894954,-83.426574,28893
225,10980,40-44,780,867,1647,"Alpena, MI",44.894954,-83.426574,28893
226,10980,45-49,773,788,1561,"Alpena, MI",44.894954,-83.426574,28893
227,10980,50-54,880,810,1690,"Alpena, MI",44.894954,-83.426574,28893
228,10980,55-59,1150,1083,2233,"Alpena, MI",44.894954,-83.426574,28893
229,10980,60-64,1308,1299,2607,"Alpena, MI",44.894954,-83.426574,28893
230,10980,65+,3814,3285,7099,"Alpena, MI",44.894954,-83.426574,28893
231,11020,15-19,3604,3914,7518,"Altoona, PA",40.498683,-78.309597,121767
232,11020,20-24,3028,3257,6285,"Altoona, PA",40.498683,-78.309597,121767
233,11020,25-29,3408,3515,6923,"Altoona, PA",40.498683,-78.309597,121767
234,11020,30-34,3851,3971,7822,"Altoona, PA",40.498683,-78.309597,121767
235,11020,35-39,3537,3615,7152,"Altoona, PA",40.498683,-78.309597,121767
236,11020,40-44,3626,3607,7233,"Altoona, PA",40.498683,-78.309597,121767
237,11020,45-49,3399,3598,6997,"Altoona, PA",40.498683,-78.309597,121767
238,11020,50-54,3939,3993,7932,"Altoona, PA",40.498683,-78.309597,121767
239,11020,55-59,4231,4170,8401,"Altoona, PA",40.498683,-78.309597,121767
240,11020,60-64,4601,4499,9100,"Altoona, PA",40.498683,-78.309597,121767
241,11020,65+,14644,11448,26092,"Altoona, PA",40.498683,-78.309597,121767
242,11060,15-19,752,773,1525,"Altus, OK",34.594006,-99.412235,24777
243,11060,20-24,834,1031,1865,"Altus, OK",34.594006,-99.412235,24777
244,11060,25-29,866,938,1804,"Altus, OK",34.594006,-99.412235,24777
245,11060,30-34,900,953,1853,"Altus, OK",34.594006,-99.412235,24777
246,11060,35-39,817,885,1702,"Altus, OK",34.594006,-99.412235,24777
247,11060,40-44,705,709,1414,"Altus, OK",34.594006,-99.412235,24777
248,11060,45-49,666,645,1311,"Altus, OK",34.594006,-99.412235,24777
249,11060,50-54,648,621,1269,"Altus, OK",34.594006,-99.412235,24777
250,11060,55-59,743,691,1434,"Altus, OK",34.594006,-99.412235,24777
251,11060,60-64,709,766,1475,"Altus, OK",34.594006,-99.412235,24777
252,11060,65+,2068,1728,3796,"Altus, OK",34.594006,-99.412235,24777
253,11100,15-19,9505,9871,19376,"Amarillo, TX",35.247999,-101.90867,269703
254,11100,20-24,8713,8965,17678,"Amarillo, TX",35.247999,-101.90867,269703
255,11100,25-29,8992,9478,18470,"Amarillo, TX",35.247999,-101.90867,269703
256,11100,30-34,9325,10125,19450,"Amarillo, TX",35.247999,-101.90867,269703
257,11100,35-39,9273,10158,19431,"Amarillo, TX",35.247999,-101.90867,269703
258,11100,40-44,8500,9471,17971,"Amarillo, TX",35.247999,-101.90867,269703
259,11100,45-49,7375,8199,15574,"Amarillo, TX",35.247999,-101.90867,269703
260,11100,50-54,7313,7847,15160,"Amarillo, TX",35.247999,-101.90867,269703
261,11100,55-59,7613,7584,15197,"Amarillo, TX",35.247999,-101.90867,269703
262,11100,60-64,7918,7518,15436,"Amarillo, TX",35.247999,-101.90867,269703
263,11100,65+,21627,18132,39759,"Amarillo, TX",35.247999,-101.90867,269703
264,11140,15-19,1328,1290,2618,"Americus, GA",32.098355,-84.224304,33761
265,11140,20-24,1655,1438,3093,"Americus, GA",32.098355,-84.224304,33761
266,11140,25-29,1028,1073,2101,"Americus, GA",32.098355,-84.224304,33761
267,11140,30-34,947,966,1913,"Americus, GA",32.098355,-84.224304,33761
268,11140,35-39,954,859,1813,"Americus, GA",32.098355,-84.224304,33761
269,11140,40-44,984,847,1831,"Americus, GA",32.098355,-84.224304,33761
